Les 5 connexions sont passées

1 : Fréquence encore libre | 0 : Fréquence utilisée

A --> B : 01111111111111111111
A --> C : 00011111111111111111
B --> A : 00011111111111111111
B --> D : 01111111111111111111
B --> E : 00001111111111111111
C --> A : 11111111111111111111
C --> D : 11111111111111111111
C --> G : 11111111111111111111
D --> B : 11111111111111111111
D --> C : 11111111111111111111
E --> B : 11111111111111111111
E --> G : 00001111111111111111
F --> H : 11111111111111111111
F --> G : 11111111111111111111
G --> C : 00111111111111111111
G --> E : 11111111111111111111
G --> H : 11111111111111111111
G --> F : 01111111111111111111
H --> G : 00111111111111111111
H --> F : 11111111111111111111

