Les 30 requetes sont passées

1 : Fréquence encore libre | 0 : Fréquence utilisée

0 --> 9 : 11100011111111111111
1 --> 3 : 11111000000110000111
1 --> 5 : 11111111111111111111
1 --> 2 : 00000000000000000000
2 --> 1 : 00000000000110000111
2 --> 4 : 00001111100110000001
2 --> 6 : 01111111111111111110
3 --> 1 : 00000000111000000001
3 --> 8 : 10000111110111111111
4 --> 2 : 00000000010000000111
4 --> 7 : 11111111100111111111
5 --> 1 : 11110000011111111111
5 --> 8 : 01111000000001111111
6 --> 9 : 11111111111111111111
6 --> 2 : 00000000000111111111
7 --> 4 : 10000000010001111111
7 --> 8 : 00000011111111111111
7 --> 9 : 01110000001111111111
8 --> 3 : 00000000110000111111
8 --> 5 : 11111111111111111111
8 --> 7 : 00000000000001111111
9 --> 0 : 00010111111111111111
9 --> 6 : 00000000000111111111
9 --> 7 : 00000001111111111111

