Les 30 requetes sont passées

1 : Fréquence encore libre | 0 : Fréquence utilisée

0 --> 9 : 00011111111111111111
1 --> 3 : 00011111000111100000
1 --> 5 : 11001111111111111111
1 --> 2 : 00000000000000000001
2 --> 1 : 00000000111111110000
2 --> 4 : 00000000000000001111
2 --> 6 : 00110000111111101111
3 --> 1 : 00001111000000000001
3 --> 8 : 00010111111100001111
4 --> 2 : 01100000000011100000
4 --> 7 : 11110000000000111111
5 --> 1 : 00000000000111111111
5 --> 8 : 00001110000011111111
6 --> 9 : 11100001111111111111
6 --> 2 : 00000000000000000001
7 --> 4 : 01100000000000001111
7 --> 8 : 00010000001111111111
7 --> 9 : 10110111110000000001
8 --> 3 : 00000000010111110001
8 --> 5 : 00001111111111111111
8 --> 7 : 00000110000000001111
9 --> 0 : 00010111111111111111
9 --> 6 : 00000000010000000001
9 --> 7 : 00000000111111111111

