Les 30 requetes sont passées

1 : Fréquence encore libre | 0 : Fréquence utilisée

0 --> 9 : 11100011111111111111
1 --> 3 : 00000100000111111111
1 --> 5 : 11100011111111111111
1 --> 2 : 00000000000100000111
2 --> 1 : 01100000000111111111
2 --> 4 : 10000000000111111111
2 --> 6 : 00111111111111111111
3 --> 1 : 10110000000100000111
3 --> 8 : 00000111111100000111
4 --> 2 : 11100000000011111111
4 --> 7 : 11001000011111111111
5 --> 1 : 01000000000000111111
5 --> 8 : 01100011000000000111
6 --> 9 : 01111111111111111111
6 --> 2 : 00100000001100000111
7 --> 4 : 11100000111100000111
7 --> 8 : 11000000000000111111
7 --> 9 : 00011111000000000111
8 --> 3 : 00000000011100000111
8 --> 5 : 11111000000000111111
8 --> 7 : 00000000000000000111
9 --> 0 : 11000011111111111111
9 --> 6 : 00000011000000000111
9 --> 7 : 01000111100000111111

