Les 30 requetes sont passées

1 : Fréquence encore libre | 0 : Fréquence utilisée

0 --> 9 : 00011111111111111111
1 --> 3 : 00000001110000110011
1 --> 5 : 11111111111111111111
1 --> 2 : 00000000000000000000
2 --> 1 : 00000000000000111011
2 --> 4 : 00000111110000111000
2 --> 6 : 01111111111111111111
3 --> 1 : 00000000010000000000
3 --> 8 : 11110001111111000011
4 --> 2 : 00000000010000001111
4 --> 7 : 11111111111111111111
5 --> 1 : 11111000001111111111
5 --> 8 : 00001111000001111111
6 --> 9 : 11111111111111111111
6 --> 2 : 00001000000011111111
7 --> 4 : 00000110111111001111
7 --> 8 : 00011111111111111000
7 --> 9 : 00000111011101110111
8 --> 3 : 01111000000011000000
8 --> 5 : 11111111111111111111
8 --> 7 : 00000000011101000111
9 --> 0 : 00010111111111111111
9 --> 6 : 00000000001101110111
9 --> 7 : 00001111111111111000

