Les 30 requetes sont passées

1 : Fréquence encore libre | 0 : Fréquence utilisée

0 --> 9 : 11111000111111111111
1 --> 3 : 00000000000000111111
1 --> 5 : 11111111101111111111
1 --> 2 : 00000000000000001111
2 --> 1 : 00000000001111111111
2 --> 4 : 00000111111111101111
2 --> 6 : 01111000011111011111
3 --> 1 : 00000000000000101111
3 --> 8 : 11111000000000011111
4 --> 2 : 00000000011111111111
4 --> 7 : 11111000011111111111
5 --> 1 : 00000000000011111111
5 --> 8 : 00000111101111100111
6 --> 9 : 11111111111111111111
6 --> 2 : 00000000000000011111
7 --> 4 : 00000000000011111111
7 --> 8 : 00000000111100011111
7 --> 9 : 00000000011111000111
8 --> 3 : 01111000000000001111
8 --> 5 : 00000111111111111111
8 --> 7 : 00000000000000000111
9 --> 0 : 00011111111111011111
9 --> 6 : 00000000001111110111
9 --> 7 : 00000000011100011111

